cam01,cam02,cam03,cam04,cam05
False,False,False,False,False
False,False,False,False,False
False,False,False,False,False
False,True,False,False,False
False,True,False,False,False
True,True,True,False,True
True,True,True,False,True
True,True,True,False,True
True,True,False,True,True
True,True,False,False,True
True,True,True,True,True
True,True,True,True,True
True,True,True,True,True
True,True,True,True,True
True,True,True,True,True
True,True,True,True,True
True,True,True,True,True
True,True,True,True,True
True,True,False,True,True
True,True,False,True,True
True,True,True,True,True
True,True,True,True,True
True,True,True,True,True
True,True,True,True,True
True,True,True,True,True
