cam1_X,cam1_Y
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
66.842594,271.847505
135.768519,348.605920
214.093433,425.886502
301.817337,505.255749
389.735502,583.981855
424.679262,473.767926
513.795609,452.881282
602.911955,431.066343
702.703698,405.538223
788.274370,376.262942
827.881635,296.498310
913.697376,357.559511
999.513118,425.772023
1096.330877,491.784132
1192.598536,560.546745
1132.166330,463.716431
1227.517154,442.079129
1330.936124,418.974891
1441.242471,397.947221
1554.685502,376.432164
