cam1_X,cam1_Y,cam2_X,cam2_Y
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,1969.804656,311.815376
NaN,NaN,1873.826710,261.003522
67.497818,270.250785,1818.623708,345.689946
135.874263,348.036833,1745.302780,377.189397
214.287618,422.686347,1671.698777,405.209102
301.483268,503.608929,1598.931184,429.883171
389.306226,581.394977,1534.527682,450.375195
425.690022,471.616280,1479.324680,546.562243
514.140286,450.915154,1404.047860,480.067718
602.590551,428.332108,1337.553335,416.500625
702.332338,402.612528,1271.477015,357.533783
788.900682,373.756413,1222.816491,300.890593
828.421012,292.833831,1080.069335,375.609808
913.688394,354.248092,1031.371737,399.772738
1000.427118,424.134721,991.224100,421.333506
1095.591888,490.056151,948.846038,439.920376
1193.234908,557.960180,910.557087,454.789871
1132.765627,463.291059,792.530184,543.086379
1227.930398,441.978115,744.947798,483.277964
1332.016866,419.673872,700.669745,423.139116
1442.051132,397.865279,656.722125,369.608932
1556.546246,375.561036,619.383170,318.061348
